School_Name,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
WILLAPA ELEMENTARY,155.0,98.1,1.9,1.9,0.0,0.0,0.0,1.9,1.9,1.9,1.9,1.9,1.9,152.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,WILLAPA VALLEY SCHOOL DISTRICT,PACIFIC,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N,"PO BOX 128
MENLO"
GOODMAN MIDDLE SCHOOL,556.0,94.1,5.8,0.5,4.7,0.5,0.0,3.8,3.8,2.7,3.2,3.6,3.6,523.0,32.0,3.0,26.0,3.0,0.0,21.0,21.0,15.0,18.0,20.0,20.0,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y,"3701 38TH AVE NW
GIG HARBOR
(47.291344, -122.590076)"
SILVER LAKE ELEMENTARY SCHOOL,480.0,89.6,1.9,0.2,1.0,0.4,0.0,0.6,0.6,1.7,0.0,1.5,1.7,430.0,9.0,1.0,5.0,2.0,0.0,3.0,3.0,8.0,0.0,7.0,8.0,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"1310 SW 325TH ST
FEDERAL WAY"
EMERSON ELEMENTARY,349.0,84.0,9.2,4.0,4.9,0.9,0.0,5.2,5.4,6.0,6.0,5.7,7.2,293.0,32.0,14.0,17.0,3.0,0.0,18.0,19.0,21.0,21.0,20.0,25.0,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,3-6,N,Y,"1103 PINE STREET
SNOHOMISH"
CAREER ACADEMY AT TRUMAN HIGH SCHOOL,113.0,79.6,0.9,0.0,0.9,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.9,90.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N,"31455 28TH AVE S
FEDERAL WAY
(47.317773, -122.298348)"
NEAH BAY ELEMENTARY SCHOOL,182.0,89.6,9.9,1.6,6.6,2.2,0.0,7.7,7.7,7.7,8.2,6.0,9.9,163.0,18.0,3.0,12.0,4.0,0.0,14.0,14.0,14.0,15.0,11.0,18.0,CAPE FLATTERY SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N,"3560 DEER STREET
NEAH BAY"
HARRISON MIDDLE SCHOOL,887.0,97.4,0.2,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,864.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,SUNNYSIDE SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,6-8,N,Y,"1110 S 6TH ST
SUNNYSIDE
(46.317414, -120.012983)"
CASCADIA MONTESSORI SCHOOL,64.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-4,Y,N,"4239 162ND AVE NE
REDMOND
(47.6485, -122.124326)"
COMMUNITY MONTESSORI,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"1407 SOUTH I ST
TACOMA
(47.248801, -122.448052)"
CHESTER H THOMPSON ELEMENTARY,584.0,94.0,1.9,0.9,0.9,0.2,0.0,0.9,0.7,1.0,0.9,0.9,1.7,549.0,11.0,5.0,5.0,1.0,0.0,5.0,4.0,6.0,5.0,5.0,10.0,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"303 159TH ST E
TACOMA
(47.112308, -122.426415)"
GROVE ELEMENTARY,506.0,95.1,3.8,1.0,2.8,0.0,0.0,2.6,2.6,3.2,3.0,1.8,3.4,481.0,19.0,5.0,14.0,0.0,0.0,13.0,13.0,16.0,15.0,9.0,17.0,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"6510 GROVE ST
MARYSVILLE
(48.06445, -122.142996)"
COLBERT ELEMENTARY SCHOOL,508.0,90.4,5.7,0.6,4.7,0.2,0.2,2.8,2.8,3.1,3.1,3.0,4.9,459.0,29.0,3.0,24.0,1.0,1.0,14.0,14.0,16.0,16.0,15.0,25.0,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"4625 E GREENBLUFF RD
COLBERT
(47.809056, -117.3431)"
CENTRAL VALLEY HIGH SCHOOL,2147.0,86.3,6.1,0.8,5.1,0.0,0.2,4.3,4.0,3.6,3.5,3.2,4.9,1853.0,132.0,17.0,110.0,1.0,5.0,93.0,85.0,78.0,75.0,69.0,106.0,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"821 S SULLIVAN ROAD
SPOKANE VALLEY
(47.649532, -117.196624)"
BRIGHT WATER SCHOOL,158.0,41.8,58.2,6.3,51.9,0.0,0.0,12.0,34.8,34.8,39.9,36.7,41.1,66.0,92.0,10.0,82.0,0.0,0.0,19.0,55.0,55.0,63.0,58.0,65.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"1501 TENTH AVE E SUITE 100
SEATTLE
(47.632441, -122.320199)"
ENUMCLAW HIGH SCHOOL,1353.0,83.9,7.2,1.6,5.8,0.4,0.0,4.1,3.8,3.3,3.3,3.8,4.4,1135.0,98.0,22.0,78.0,6.0,0.0,55.0,51.0,44.0,45.0,51.0,59.0,ENUMCLAW SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N,"226 SEMANSKI ST SOUTH
ENUMCLAW
(47.190197, -122.005511)"
CHERRY CREST ELEMENTARY SCHOOL,562.0,84.5,6.4,2.0,4.3,0.4,0.0,2.1,2.1,2.8,2.7,2.8,4.6,475.0,36.0,11.0,24.0,2.0,0.0,12.0,12.0,16.0,15.0,16.0,26.0,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"12400 NE 32ND STREET
BELLEVUE
(47.638921, -122.173722)"
GESS ELEMENTARY,328.0,86.9,11.0,2.1,8.8,0.3,0.0,7.9,7.9,7.0,6.7,6.1,10.1,285.0,36.0,7.0,29.0,1.0,0.0,26.0,26.0,23.0,22.0,20.0,33.0,CHEWELAH SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"P.O. BOX 7
CHEWELAH"
EAST PORT ORCHARD ELEMENTARY,489.0,95.5,3.7,1.6,2.0,0.0,0.0,1.6,1.4,2.2,2.0,2.5,2.5,467.0,18.0,8.0,10.0,0.0,0.0,8.0,7.0,11.0,10.0,12.0,12.0,SOUTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,Y,Y,"1964 HOOVER AVE SE
PORT ORCHARD
(47.525996, -122.62666)"
SPRINGDALE ACADEMY,8.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MARY WALKER SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K -12,Y,Y,"PO BOX 159
SPRINGDALE"
APP AT LINCOLN,755.0,93.4,5.4,2.1,3.8,0.3,0.0,1.6,1.6,1.7,2.4,3.3,3.4,705.0,41.0,16.0,29.0,2.0,0.0,12.0,12.0,13.0,18.0,25.0,26.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-5,N,N,"4400 INTERLAKE AVE N
SEATTLE
(47.660149, -122.340686)"
HALLER MIDDLE SCHOOL,681.0,80.0,9.0,0.6,7.8,0.6,0.0,4.1,3.7,4.4,4.4,3.7,6.5,545.0,61.0,4.0,53.0,4.0,0.0,28.0,25.0,30.0,30.0,25.0,44.0,ARLINGTON SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y,"600 E. FIRST
ARLINGTON
(35.323506, -89.627144)"
HILLTOP ELEMENTARY,608.0,94.4,2.6,2.1,0.5,0.0,0.0,0.0,0.0,0.3,0.0,0.2,2.1,574.0,16.0,13.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,13.0,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,"12250 24TH AVE S
SEATTLE
(47.492821, -122.302107)"
HAWTHORNE ELEMENTARY SCHOOL,448.0,96.9,1.6,0.7,0.9,0.0,0.0,0.7,0.7,0.9,0.7,1.1,1.1,434.0,7.0,3.0,4.0,0.0,0.0,3.0,3.0,4.0,3.0,5.0,5.0,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"1110 POPLAR ST.
EVERETT
(48.003197, -122.195927)"
COUPEVILLE MIDDLE SCHOOL,234.0,76.5,15.8,3.0,12.8,0.0,0.4,7.3,5.6,6.8,6.0,8.1,10.7,179.0,37.0,7.0,30.0,0.0,1.0,17.0,13.0,16.0,14.0,19.0,25.0,COUPEVILLE SCHOOL DISTRICT,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y,"501 SOUTH MAIN
COUPEVILLE
(48.207366, -122.686117)"
HAWTHORNE ELEMENTARY SCHOOL,558.0,98.2,1.8,0.4,1.3,0.2,0.0,1.4,1.4,1.4,1.4,1.8,1.6,548.0,10.0,2.0,7.0,1.0,0.0,8.0,8.0,8.0,8.0,10.0,9.0,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,"3520 WEST JOHN DAY AVENUE
KENNEWICK
(46.217761, -119.168742)"
CHLOE CLARK ELEMENTARY,606.0,85.6,1.8,0.3,1.3,0.2,0.0,1.0,1.0,1.0,1.2,1.0,1.3,519.0,11.0,2.0,8.0,1.0,0.0,6.0,6.0,6.0,7.0,6.0,8.0,STEILACOOM HIST. SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -3,Y,N,"1700 PALISADE BOULEVARD
DUPONT
(47.097231, -122.639696)"
WATERVILLE ELEMENTARY,124.0,92.7,4.0,1.6,1.6,0.8,0.0,1.6,1.6,1.6,2.4,1.6,1.6,115.0,5.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,WATERVILLE SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -6,Y,Y,"PO BOX 490
WATERVILLE"
COLUMBIA RIVER HIGH,1215.0,93.9,5.3,0.4,4.6,0.7,0.1,3.4,3.1,3.4,2.7,3.1,3.3,1141.0,65.0,5.0,56.0,8.0,1.0,41.0,38.0,41.0,33.0,38.0,40.0,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N,"800 NW 99TH ST
VANCOUVER
(45.692878, -122.680416)"
FAIRMOUNT ELEMENTARY,643.0,88.5,4.2,1.2,3.6,0.0,0.0,2.5,2.5,2.2,2.2,1.7,3.7,569.0,27.0,8.0,23.0,0.0,0.0,16.0,16.0,14.0,14.0,11.0,24.0,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"11401 BEVERLY PARK RD
EVERETT
(47.895467, -122.268801)"
ADELAIDE ELEMENTARY SCHOOL,397.0,90.9,4.8,0.0,4.8,0.0,0.0,3.5,3.5,3.5,3.5,3.3,4.3,361.0,19.0,0.0,19.0,0.0,0.0,14.0,14.0,14.0,14.0,13.0,17.0,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"1635 SW 304TH ST
FEDERAL WAY
(47.329632, -122.356963)"
EVERGREEN ELEMENTARY SCHOOL,418.0,94.3,1.4,0.7,0.5,0.2,0.0,0.7,1.0,0.7,0.7,1.0,1.0,394.0,6.0,3.0,2.0,1.0,0.0,3.0,4.0,3.0,3.0,4.0,4.0,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"9010 BLAINE AVE
FORT LEWIS
(47.109192, -122.565133)"
COLUMBIA VALLEY ELEMENTARY,579.0,65.8,3.8,0.5,2.2,0.0,1.0,2.9,2.8,2.9,2.9,3.3,3.5,381.0,22.0,3.0,13.0,0.0,6.0,17.0,16.0,17.0,17.0,19.0,20.0,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"17500 SE SEQUOIA CR
VANCOUVER
(45.612469, -122.493269)"
GIG HARBOR HIGH,1654.0,92.5,6.1,0.5,5.5,0.4,0.0,4.4,4.4,3.7,3.7,3.6,4.2,1530.0,101.0,8.0,91.0,6.0,0.0,72.0,72.0,61.0,61.0,60.0,70.0,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N,"5101 ROSEDALE ST NW
GIG HARBOR
(47.330194, -122.604582)"
HOCKINSON MIDDLE SCHOOL,422.0,84.8,14.7,1.7,12.8,1.7,0.0,8.5,6.4,8.5,8.3,8.1,11.4,358.0,62.0,7.0,54.0,7.0,0.0,36.0,27.0,36.0,35.0,34.0,48.0,HOCKINSON SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y,"15916 NE 182ND AVE
BRUSH PRAIRIE
(45.739767, -122.486751)"
GENEVA ELEMENTARY SCHOOL,449.0,88.4,9.4,0.4,8.7,0.4,0.0,5.3,5.3,5.3,6.0,6.5,6.7,397.0,42.0,2.0,39.0,2.0,0.0,24.0,24.0,24.0,27.0,29.0,30.0,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"1401 GENEVA ST
BELLINGHAM
(48.748234, -122.401632)"
KETTLE FALLS HIGH SCHOOL,217.0,87.1,12.0,0.9,10.1,0.0,1.4,4.1,3.7,6.0,5.1,7.8,4.1,189.0,26.0,2.0,22.0,0.0,3.0,9.0,8.0,13.0,11.0,17.0,9.0,KETTLE FALLS SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"PO BOX 458
KETTLE FALLS"
COUGAR RIDGE ELEMENTARY,583.0,97.1,2.7,0.2,2.7,0.2,0.0,1.5,1.5,1.9,1.7,2.2,2.4,566.0,16.0,1.0,16.0,1.0,0.0,9.0,9.0,11.0,10.0,13.0,14.0,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"4630 167TH AVE SE
ISSAQUAH"
BREWSTER JUNIOR HIGH SCHOOL,203.0,92.6,2.0,1.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.5,188.0,4.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,BREWSTER SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,7-8,N,N,"P.O. BOX 97
BREWSTER"
NEWPORT HIGH SCHOOL,351.0,53.6,18.2,2.6,14.2,1.4,0.0,6.6,5.1,8.3,5.4,6.6,13.1,188.0,64.0,9.0,50.0,5.0,0.0,23.0,18.0,29.0,19.0,23.0,46.0,NEWPORT SCHOOL DISTRICT,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"P. O. BOX 70
NEWPORT"
E OMAK ELEMENTARY,368.0,96.2,2.7,0.5,1.6,0.5,0.0,1.1,1.1,1.9,1.1,1.1,1.9,354.0,10.0,2.0,6.0,2.0,0.0,4.0,4.0,7.0,4.0,4.0,7.0,OMAK SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,3-5,N,N,"P O BOX 833
OMAK"
DEER PARK ELEMENTARY,406.0,86.5,10.6,3.0,7.1,0.5,0.0,5.2,5.2,6.9,6.4,7.1,8.4,351.0,43.0,12.0,29.0,2.0,0.0,21.0,21.0,28.0,26.0,29.0,34.0,DEER PARK SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -2,Y,N,"E. 1500 ""D"" STREET
DEER PARK"
SOUTH BEND HIGH SCHOOL,236.0,78.8,3.4,0.4,2.5,0.4,0.0,1.7,1.3,1.3,1.3,1.3,3.0,186.0,8.0,1.0,6.0,1.0,0.0,4.0,3.0,3.0,3.0,3.0,7.0,SOUTH BEND SCHOOL DISTRICT,PACIFIC,EDUCATIONAL SERVICE DISTRICT 113,7-12,N,N,"PO BOX 437
SOUTH BEND"
EDWIN MARKHAM ELEMENTARY,394.0,96.4,2.8,0.0,2.8,0.0,0.0,2.0,2.0,2.5,2.0,2.3,1.5,380.0,11.0,0.0,11.0,0.0,0.0,8.0,8.0,10.0,8.0,9.0,6.0,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,"4031 ELM ROAD
PASCO
(46.430722, -119.197404)"
HUTTON ELEMENTARY,553.0,93.7,6.3,2.5,3.6,0.5,0.0,2.7,2.7,2.7,3.1,4.2,4.2,518.0,35.0,14.0,20.0,3.0,0.0,15.0,15.0,15.0,17.0,23.0,23.0,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"908 E 24TH AVE
SPOKANE
(47.632746, -117.39554)"
COLTON SCHOOL,142.0,92.3,3.5,0.0,3.5,0.0,0.0,2.1,2.1,2.1,2.1,2.1,3.5,131.0,5.0,0.0,5.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,5.0,COLTON SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-12,Y,Y,"706 UNION
COLTON
(46.56781, -117.130028)"
BARNES ELEMENTARY,361.0,97.8,1.9,1.1,0.8,0.0,0.0,1.7,1.7,1.7,1.7,1.1,1.7,353.0,7.0,4.0,3.0,0.0,0.0,6.0,6.0,6.0,6.0,4.0,6.0,KELSO SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"401 BARNES
KELSO
(46.159234, -122.907893)"
EVERGREEN HIGH SCHOOL,1742.0,38.5,4.8,0.2,4.1,0.3,0.2,3.2,3.1,3.3,2.6,2.8,3.3,671.0,84.0,4.0,72.0,6.0,3.0,56.0,54.0,58.0,45.0,49.0,57.0,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N,"14300 NE 18TH STREET
VANCOUVER
(45.635676, -122.524874)"
FRIDAY HARBOR HIGH SCHOOL,286.0,50.3,12.6,0.7,11.9,0.0,0.0,7.7,5.2,6.6,7.7,10.5,7.3,144.0,36.0,2.0,34.0,0.0,0.0,22.0,15.0,19.0,22.0,30.0,21.0,SAN JUAN ISLAND SCHOOL DISTRICT,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N,"PO BOX 458
FRIDAY HARBOR"
HENRY M. JACKSON HIGH SCHOOL,2193.0,83.5,3.0,0.2,2.6,0.1,0.0,1.8,2.1,1.9,1.7,1.7,2.0,1832.0,66.0,4.0,58.0,3.0,1.0,39.0,46.0,41.0,37.0,38.0,43.0,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N,"1508 136TH ST. SE
EVERETT"
ROYAL MIDDLE SCHOOL,264.0,99.6,0.4,0.0,0.4,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,263.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,ROYAL SCHOOL DISTRICT,GRANT,EDUCATIONAL SERVICE DISTRICT 105,7-8,N,Y,"921 AHLERS ROAD
ROYAL CITY"
PE ELL SCHOOL,271.0,93.7,5.9,1.1,4.1,0.4,0.4,3.0,3.3,3.3,3.3,3.0,4.8,254.0,16.0,3.0,11.0,1.0,1.0,8.0,9.0,9.0,9.0,8.0,13.0,PE ELL SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-12,Y,Y,"PO BOX 368
PE ELL"
TROUT LAKE SCHOOL,138.0,84.8,15.2,2.2,8.7,3.6,0.7,8.7,8.7,8.0,8.7,12.3,8.7,117.0,21.0,3.0,12.0,5.0,1.0,12.0,12.0,11.0,12.0,17.0,12.0,TROUT LAKE SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,5-12,N,Y,"PO BOX 488
TROUT LAKE"
DISHMAN HILLS HIGH SCHOOL (CBE ALTERNATIVE PROGRAMS),353.0,48.2,1.7,0.0,1.7,0.0,0.0,1.4,1.4,0.8,0.6,0.6,0.6,170.0,6.0,0.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,2.0,2.0,WEST VALLEY SCHOOL DISTRICT (SPOKANE),SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"115 S UNIVERSITY
SPOKANE
(47.655957, -117.261316)"
FRANK WAGNER ELEMENTARY,588.0,92.2,2.9,1.0,1.7,0.2,0.0,1.7,1.7,2.0,1.7,1.7,2.6,542.0,17.0,6.0,10.0,1.0,0.0,10.0,10.0,12.0,10.0,10.0,15.0,MONROE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"115 DICKINSON ROAD
MONROE
(47.853284, -121.982531)"
WEST VALLEY CITY SCHOOL,219.0,80.4,11.4,1.4,9.6,0.5,0.5,10.0,9.6,8.7,7.8,5.5,9.6,176.0,25.0,3.0,21.0,1.0,1.0,22.0,21.0,19.0,17.0,12.0,21.0,WEST VALLEY SCHOOL DISTRICT (SPOKANE),SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,5-8,N,Y,"8920 E VALLEYWAY
SPOKANE"
INCHELIUM HIGH SCHOOL,422.0,96.7,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2,408.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,INCHELIUM SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"1 HORNET AVENUE
INCHELIUM"
GLENWOOD HEIGHTS PRIMARY,724.0,85.4,10.5,0.8,8.8,0.8,0.3,8.8,8.8,9.5,9.4,9.3,9.8,618.0,76.0,6.0,64.0,6.0,2.0,64.0,64.0,69.0,68.0,67.0,71.0,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -4,Y,N,"9716 NE 134TH ST
VANCOUVER
(45.718674, -122.57222)"
BOZE,380.0,93.9,1.6,0.0,0.0,0.3,1.3,1.3,1.6,1.3,1.3,0.8,1.3,357.0,6.0,0.0,0.0,1.0,5.0,5.0,6.0,5.0,5.0,3.0,5.0,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"1140 E 65TH ST
TACOMA
(47.198139, -122.413618)"
ENTERPRISE MIDDLE SCHOOL,1184.0,92.1,3.5,0.4,3.0,0.1,0.0,2.5,2.5,2.1,1.9,1.8,2.8,1091.0,41.0,5.0,35.0,1.0,0.0,30.0,30.0,25.0,23.0,21.0,33.0,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y,"5200 PARADISE WAY
WEST RICHLAND"
TEKOA HIGH SCHOOL,95.0,88.4,5.3,0.0,5.3,0.0,0.0,4.2,4.2,1.1,3.2,1.1,3.2,84.0,5.0,0.0,5.0,0.0,0.0,4.0,4.0,1.0,3.0,1.0,3.0,TEKOA SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N,"513 E HENKLE
TEKOA"
HOUSEL MIDDLE SCHOOL,609.0,97.7,1.5,0.0,1.5,0.0,0.0,1.3,1.3,1.3,1.3,1.0,1.1,595.0,9.0,0.0,9.0,0.0,0.0,8.0,8.0,8.0,8.0,6.0,7.0,PROSSER SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y,"2001 HIGHLAND DRIVE
PROSSER
(46.209364, -119.750173)"
DOROTHY FOX,469.0,91.0,8.3,1.3,6.2,1.1,0.0,4.9,4.9,6.6,5.1,5.5,7.7,427.0,39.0,6.0,29.0,5.0,0.0,23.0,23.0,31.0,24.0,26.0,36.0,CAMAS SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"2623 NW SIERRA ST
CAMAS
(45.598846, -122.429407)"
OMAK HIGH SCHOOL,422.0,90.0,5.9,0.2,4.7,0.9,0.0,3.1,2.4,2.6,2.1,2.1,4.0,380.0,25.0,1.0,20.0,4.0,0.0,13.0,10.0,11.0,9.0,9.0,17.0,OMAK SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N,"P O BOX 833
OMAK"
ACME ELEMENTARY,239.0,90.8,7.5,2.1,5.0,0.0,0.4,5.4,5.4,5.9,5.4,4.6,6.3,217.0,18.0,5.0,12.0,0.0,1.0,13.0,13.0,14.0,13.0,11.0,15.0,MOUNT BAKER SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"5200 TURKINGTON RD
ACME
(48.718315, -122.209719)"
